title;id;price;sale price;availability;image link;additional image link;all clicks;brand;color;cost of goods sold;custom label 0;custom label 1;custom label 2;custom label 3;custom label 4;description;google product category;gtin;identifier exists;link;material;mpn;product height;product highlight;product length;product type;product weight;product width
"16-Gauge Deep Door Bin Cabinet, 132 Yellow Bins, 38"" x 24"" x 72"", Assembled Global Industrial - Bin Cabinets";662147YL;1214.10 USD;1214.10 USD;in stock;https://images.globalindustrial.com/images/275x275/662147YL.jpg;https://images.globalindustrial.com/images/500x500/662147YL.jpg,https://images.globalindustrial.com/images/500x500/662147YL_01.jpg,https://images.globalindustrial.com/images/500x500/662147YL_02.jpg,https://images.globalindustrial.com/images/500x500/662147YL_03.jpg,https://images.globalindustrial.com/images/500x500/662147YL_04.jpg,https://images.globalindustrial.com/images/500x500/662147YL_05.jpg,https://images.globalindustrial.com/images/500x500/662147YL_06.jpg,https://images.globalindustrial.com/images/500x500/662147YL_07.jpg;1 242;Global Industrial;Gray;;in stock;Boost;37;Fixed Freight;[Exclusive Brands];"&checkmark; 16-gauge construction body for lasting durability &checkmark; 16-gauge shelf thickness  Stationary Bin cabinets offer reinforced doors and plenty of storage shelves to keep all item safe and secure. The louvered interior provides easy attachment for bins, providing convenient storage organization and solutions. Padlock hasp is cut resistant for improved security and theft protection. Reinforced box style doors swings 270 . Includes leveling feet for stability. Powder coat finish helps prevent corrosion.    Included Yellow bins: &#8226 (48) 4-1/8""W x 5-3/8""D x 3""H &#8226 (48) 4-1/8""W x 7-3/8""D x 3""H &#8226 (18) 5-1/2""W x 10-7/8""D x 5""H &#8226 (12) 8-1/4""W x 14-3/4""D x 7""H &#8226 (6)16-1/2""W x 14-3/4""D x 7""H";5832;707022334853;yes;https://www.globalindustrial.com/p/bin-cabinet-with-removable-bins-30;Steel;662147YL;72 in;16-gauge construction body for lasting durability,16-gauge shelf thickness;;Cabinets > Bin Cabinets > Stationary Bin Cabinets > Storage & Shelving;;38 in
"Interion Freestanding Office Partition Panel, 60-1/4""W x 60""H, Gray";238639FGY;269.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/238639FGY.jpg;https://images.globalindustrial.com/images/500x500/238635GY_10.jpg,https://images.globalindustrial.com/images/500x500/238643_03.jpg,https://images.globalindustrial.com/images/500x500/238643_04.jpg,https://images.globalindustrial.com/images/500x500/238639FGY.jpg,https://images.globalindustrial.com/images/500x500/238639FGY_01.jpg;1 235;Interion By Global Industrial;Gray;;in stock;Boost;R3Overall;[Furniture & Decor] {1};[Exclusive Brands];"&checkmark; 1-3/4"" thick, full-fabric upholstered panel   &checkmark; Meets California 117 flammability standard  &checkmark; Steel T-legs ensure reliable freestanding stability    This convenient and reliable 60"" tall, gray Interion Freestanding Office Partition Panel provides versatile privacy for reception spaces, call centers and more. Panels are made of a 1-3/4"" thick gray fabric upholstered panel with an MDF frame and honeycomb core covered with a heavy tackable liner for structural strength. Its trim is finished with a self-extinguishing extruded polymer for rigidity and fire safety. Panels are flame-retardant to meet the California 117 flammability standard. The partition has steel T-legs that ensure reliable freestanding stability and to make them easy to adjust and rearrange. Limited 1-Year Warranty.";Business & Industrial;707022031806;yes;https://www.globalindustrial.com/p/freestanding-office-partitions-gray-60-14w-x-60h-238639FGY;Steel;238639FGY;60 in;"Meets California 117 flammability standard,Steel T-legs ensure reliable freestanding stability,""1-3/4"""" thick, full-fabric upholstered panel""";;Partitions & Dividers > Cubicle Partition Panels > Furniture & Decor;;60.25 in
Surface Mount Water Bottle Filling Station, Filtered, PFAS Global Industrial;270315;799.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/761251.jpg;https://images.globalindustrial.com/images/500x500/761251_11.jpg,https://images.globalindustrial.com/images/500x500/761251_12.jpg,https://images.globalindustrial.com/images/500x500/761251.jpg,https://images.globalindustrial.com/images/500x500/761251_01.jpg,https://images.globalindustrial.com/images/500x500/761251_02.jpg,https://images.globalindustrial.com/images/500x500/761251_03.jpg,https://images.globalindustrial.com/images/500x500/761251_04.jpg,https://images.globalindustrial.com/images/500x500/761251_05.jpg;1 214;Global Industrial;Gray;;in stock;Boost;1000+;Free Shipping;;"&checkmark; Touchless activation with automatic shut-off   &checkmark; Ready-to-use PFAS and microplastic filter included   &checkmark; Keyed access door with no tools needed for easy filter changes      Keep patrons and staff hydrated with this Global Industrial Surface Mount Water Bottle Filling Station. Featuring a heavy-duty steel construction, a drainage system that eliminates standing water, and a laminar water flow to minimize splashing, this indoor bottle filler is an ideal solution for warehouses, airports, hotels, schools, offices, and more. It has an LED display counter that tracks the number of bottles saved from landfills and an LED filter level indicator that informs you of when it's time to change the filter. Includes a 3,600-gallon capacity PFAS and microplastic water filter to meet all your filtration requirements  total PFAS filtration (PFOA+PFOS, PFNA, PFHxS and PFHpA reduction) along with NSF/ANSI 42, 53, 372, and 401 compliance. Its built-in sensor dispenses water into bottles at a quick-fill rate of 1.0 GPM, providing a completely touch-free experience. This item meets ADA guidelines. Limited 1-Year Warranty.      3,600-gallon capacity with advanced filtration system removing total PFAS and full range of chlorine, lead, cyst, turbidity, & microplastics  ADA-compliant with ""Hold Bottle in Front of Sensor (6 inches to the right)"" in Braille on the front panel  Quick-fill rate of 1.0 GPM  ABS body with durable galvanized steel frame  Rust and dent-resistant lower cover  Compatible with replacement filter model number 761215PF  Display center counts disposable bottle saved from waste and LED bars flash when a filter change is needed";Business & Industrial;707022514453;yes;https://www.globalindustrial.com/p/surface-mount-water-bottle-filling-station-filtered;;761251;25.5625 in;Keyed access door with no tools needed for easy filter changes,Touchless activation with automatic shut-off,Ready-to-use PFAS and microplastic filter included;;Drinking Fountains & Coolers > Indoor Drinking Fountains & Bottle Fillers > Indoor Bottle Filling Stations > Plumbing & Pumps;;17.875 in
Elkay EZS8WSLK Water Bottle Refilling Station, Non Filtered, Single Level, Light Gray;806156N;1249.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/806156N.jpg;https://images.globalindustrial.com/images/500x500/806156N_01.jpg,https://images.globalindustrial.com/images/500x500/B384182N_02.jpg,https://images.globalindustrial.com/images/500x500/B384182N_05.jpg,https://images.globalindustrial.com/images/500x500/B384182N_06.jpg,https://images.globalindustrial.com/images/500x500/B384182N_07.jpg,https://images.globalindustrial.com/images/500x500/B384182N_08.jpg,https://images.globalindustrial.com/images/500x500/B384182N_09.jpg,https://images.globalindustrial.com/images/500x500/806156N.jpg;1 204;Elkay;Gray;;in stock;Boost;1000+;Free Shipping;;"Complete cooler and bottle filling station provides a consolidated and space saving ADA compliant design. Sanitary, no-touch, sensor activation with automatic 20-second shut-off timer. Flexi-Guard Stream Saver Bubbler. Silver Ion anti-microbial protection. Quick fill rate is 1.1 gpm for refrigerated units and 1.5 gpm for non-refrigerated units. Laminar flow provides minimal splash. Real drain system eliminates standing water. Visual user interface display includes Green Ticker for counting the quantity of 16oz. bottles saved from the landfill for non-refrigerated units, and 12 oz. bottles for refrigerated units. Lead Free Design. NSF/ANSI 61 and CA AB1953 Compliant. &lt;ul style=Margin-top:0px; padding-top: 5px; padding-bottom: 5px;>Wall MountFlow Rate: 8 GPHLight Gray Granite";Business & Industrial;94902745916;yes;https://www.globalindustrial.com/p/elkay-ezs8wslk-water-refilling-station-non-filtered-single-level-light-gray;Stainless Steel;EZS8WSLKN;;;;Drinking Fountains & Coolers > Indoor Drinking Fountains & Bottle Fillers > Indoor Bottle Filling Stations > Plumbing & Pumps;;19 in
"Ballymore Self-Propelled Lithium Ion Powered Pallet Jack, 3300 lb. Capacity, 21""W x 45""L Forks";B2354780;3049.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/GAL_B2354780.jpg;https://images.globalindustrial.com/images/500x500/GAL_B2354780.jpg,https://images.globalindustrial.com/images/500x500/ballypal_02.jpg,https://images.globalindustrial.com/images/500x500/ballypal_03.jpg;1 180;Ballymore;Red;;in stock;Boost;0;[Carts & Trucks] {1};;"Features: &lt;ul style=""margin-top:0px; padding-top: 5px; padding-bottom: 5px;"">Integrated pin code panel and LCD display Turtle speed button. Battery discharge indicator Operating hour counter On board diagnostics Emergency cut offs and horn Can be operated with the tiller in the vertical position, allowing the operator to work in confined areas Easy to remove batteries Designed to handle slopes up to 16% when Unloaded, 5% when Loaded.  Simple charging";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;;yes;https://www.globalindustrial.com/p/self-propelled-21-lithium-ion-powered-pallet-jack-truck-3300-lb-capacity;Steel;BALLPAL33N-21;45.75 in;;60 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;21 in
"Removable Bollard W/Flush Mount Sleeve, 4""D x 36""H Global Industrial";670517;285.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/670517.jpg;https://images.globalindustrial.com/images/500x500/670517.jpg,https://images.globalindustrial.com/images/500x500/670517_01.jpg,https://images.globalindustrial.com/images/500x500/670517_02.jpg,https://images.globalindustrial.com/images/500x500/670517_03.jpg,https://images.globalindustrial.com/images/500x500/670517_04.jpg;1 162;Global Industrial;Yellow;;in stock;Boost;1000+;[Safety & Security] {3};[Exclusive Brands];"&checkmark; 10,000 lb impact-capacity at 5mph   &checkmark; Steel construction with high-visibility yellow finish   &checkmark; Bollard inserts into base with padlock retention hasp     The 4""D x 36""H Global Industrial Removable Safety Bollard offers users a flexible option for protecting buildings & equipment and blocking access to parking lots, garages, roads, or driveways, with the option to quickly and easily allow access when required. The included sleeve base installs flush to the ground or pavement and has a cover to keep dirt, debris, and garbage out. When needed, simply open the cover and install the bollard. For additional security, the bollard can be locked to the base to prevent its removal with a user-supplied padlock. The bollard and base are made of solid steel for durability and the bollard has a bright yellow finish for high-visibility.";Business & Industrial;707022460101;yes;https://www.globalindustrial.com/p/global-industrial-153-removable-safety-bollard-4-dia-x-36-h-yellow;Steel;670517;36 in;10,000 lb impact-capacity at 5mph,Bollard inserts into base with padlock retention hasp,Steel construction with high-visibility yellow finish;;Guards, Protectors, & Railings > Bollards & Sleeves > Bollards & Posts > Safety & Security;;
"Electric Pallet Jack w/ Charger, 3300 lb Cap, 27""W x 48""L Forks Global Industrial";B3180283;1499.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/B3180283.jpg;https://images.globalindustrial.com/images/500x500/B3180283_22.jpg,https://images.globalindustrial.com/images/500x500/B3180283.jpg,https://images.globalindustrial.com/images/500x500/B3180283_01.jpg,https://images.globalindustrial.com/images/500x500/B3180283_02.jpg,https://images.globalindustrial.com/images/500x500/B3180283_03.jpg,https://images.globalindustrial.com/images/500x500/B3180283_04.jpg,https://images.globalindustrial.com/images/500x500/B3180283_05.jpg,https://images.globalindustrial.com/images/500x500/B3180283_06.jpg;1 156;Global Industrial;Yellow;;in stock;Boost;0;;;"&checkmark; 3-hour runtime with 3,300 lb. max capacity   &checkmark; Toe guard & protected battery case for added safety   &checkmark; Max 2.7 mph speed when loaded & 2.8 mph when unloaded    Increase productivity and reduce the risk of workplace injuries with the Global Industrial Electric Pallet Jack. Constructed from heavy-duty steel with a durable powder coat finish, this unit combines low maintenance, safety, long battery life, and consistent power output to quickly move large quantities of palletized goods at consistently faster speeds. It has an impressive 3,300 lb. weight capacity and is powered by a rechargeable Lithium Iron Phosphate battery for three hours of continuous operation. Engineered with efficiency in mind, this self-propelled pallet jack moves at a maximum speed of 2.7 mph when loaded to help improve inventory management, stock organization, and load/unload trucks. Limited 1-Year Limited Warranty.    Rechargeable Lithium Iron Phosphate battery supports multiple shifts  Ideal for warehouses, manufacturing plants, loading docks, & distribution centers  57 turning radius for easy maneuvering in tight spaces  Includes (1) charger & (1) battery";Business & Industrial;;yes;https://www.globalindustrial.com/p/electric-pallet-jack-3300-lbs-cap-27-x-48-forks-with-charger;Steel;B3180283;47 in;"Max 2.7 mph speed when loaded & 2.8 mph when unloaded,Toe guard & protected battery case for added safety,""3-hour runtime with 3,300 lb. max capacity"",""Certifications-UL, ETL, cUL""";65 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;27 in
"Wesco Telescoping Electric High-Lift Pallet Truck, 3000 lb. Capacity, 27""W x 45""L Forks";987673;2849.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/30910887.jpg;https://images.globalindustrial.com/images/500x500/30910887.jpg,https://images.globalindustrial.com/images/500x500/987673A.jpg,https://images.globalindustrial.com/images/500x500/987673B.jpg;1 120;Wesco;Orange;;in stock;Boost;0;Fixed Freight;Standard;"Wesco's high-lift truck raises and lowers single-faced pallets or skids with ease. Truck features support legs that automatically extend as the skid is lifted for stability (unit will not move when the load is lifted). Coated ergonomic handle offers operator comfort. Rolls smoothly with 6"" polyurethane steer wheels and 3"" polyurethane load wheels. Durable steel construction features scratch-resistant enamel paint for a lifetime of service. 1 Year Limited Warranty.  Telescoping style features a low-profile load back rest.  Electric High Lift can raise skids effortlessly (10 to 12 second unloaded lift time). 12V battery and an external remote charger are included.  Note: For use with Single-Faced Pallets, Skids and Bulk Containers.";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;678655668519;yes;https://www.globalindustrial.com/p/wesco-telescoping-electric-high-lift-pallet-truck-3000-lbs-27-forks-987673;Steel;272937;48.5 in;;45 in;Pallet Jacks & Trucks > High-Lift Pallet Jack Trucks > Carts & Trucks;;27 in
6' Outdoor Bench with Back, Vertical Steel Slat, Black Global Industrial;694854BKKD;669.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/694854BKKD.jpg;https://images.globalindustrial.com/images/500x500/694854BKKD_GIITW.jpg,https://images.globalindustrial.com/images/500x500/694854BKKD.jpg,https://images.globalindustrial.com/images/500x500/694854BKKD_01.jpg,https://images.globalindustrial.com/images/500x500/694854BKKD_02.jpg,https://images.globalindustrial.com/images/500x500/694854BKKD_03.jpg,https://images.globalindustrial.com/images/500x500/694854BKKD_04.jpg,https://images.globalindustrial.com/images/500x500/694854BKKD_05.jpg;1 118;Global Industrial;Black;;in stock;Boost;1000+;Fixed Freight;[Exclusive Brands];"&checkmark; 600-pound weight capacity  &checkmark; Corrosion-resistant black powder coat finish  &checkmark; Slatted design is vandalism-resistant & allows water to drain    The black Global Industrial 6' Outdoor Bench with Back is a heavy-duty commercial bench that is ideal for schools, camps, parks, break areas, and any outdoor environment requiring seating. Its slatted design helps to prevent snow accumulation, limits moisture buildup & standing water, and deters vandalism & graffiti. Finished in a scratch- & corrosion-resistant black powder coat, the bench is made of sturdy 5/16"" thick steel to withstand harsh year-round outdoor environments. 1-Year Limited Warranty.    Pre-drilled mounting holes to permanently install on any surface Includes all assembly hardware 17-1/2"" seat height from ground 17"" seat depth";5044;707022495677;yes;https://www.globalindustrial.com/p/6-ft-outdoor-bench-with-back-vertical-steel-slat-black;Steel Slat;694854BKKD;31 in;Corrosion-resistant black powder coat finish,600-pound weight capacity,Slatted design is vandalism-resistant & allows water to drain;72 in;Outdoor Furniture > Outdoor Seating > Benches > Metal Benches > Furniture & Decor;;26 in
"5-Drawer Medical Bedside Cart, Key Lock, 24-1/2""L x 13-1/4""W x 29""H, Beige, Global Industrial";670147;325.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/670147.jpg;https://images.globalindustrial.com/images/500x500/670147.jpg,https://images.globalindustrial.com/images/500x500/670147_01.jpg,https://images.globalindustrial.com/images/500x500/670147_02.jpg,https://images.globalindustrial.com/images/500x500/670147_03.jpg,https://images.globalindustrial.com/images/500x500/670147_04.jpg,https://images.globalindustrial.com/images/500x500/670147_05.jpg,https://images.globalindustrial.com/images/500x500/670147_06.jpg,https://images.globalindustrial.com/images/500x500/670147_07.jpg;1 108;Global Industrial;White;;in stock;Boost;0;[Carts & Trucks] {2};[Exclusive Brands];"&checkmark; Heavy-duty steel construction  &checkmark; Central key lock secures all five drawers at the same time  &checkmark; Includes four casters for easy mobility    Safely store medical supplies and tools easily with the Global Industrial 5-Drawer Medical Bedside Cart. Constructed of heavy-duty steel for long-lasting durability and an easy-to-clean ABS plastic top, this cart is equipped with four casters, two of which are locking, for easy maneuverability. Featuring five lockable drawers to securely store and organize health care essentials, this economical cart is an ideal solution for hospitals, private medical practices, nursing homes, school infirmaries, and more. Limited 1-Year Warranty.    Removable ABS plastic top also acts as a transfer tray for small medical supplies";5171;707022327756;yes;https://www.globalindustrial.com/p/global-174-5-drawer-medical-bedside-cart-key-lock-beige;Steel;670147;29 in;Heavy-duty steel construction,Central key lock secures all five drawers at the same time,Includes four casters for easy mobility;24.5 in;Special Purpose Carts & Trucks > Medical Supply Carts > Medical Storage Carts > Carts & Trucks;;13.25 in
Fan Forced Wall Heater, Enclosed Motor, 4000/3000W, 240/208V Global Industrial;246743;209.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/246743.jpg;https://images.globalindustrial.com/images/500x500/246743.jpg,https://images.globalindustrial.com/images/500x500/246743_01.jpg,https://images.globalindustrial.com/images/500x500/246743_02.jpg,https://images.globalindustrial.com/images/500x500/246743_03.jpg,https://images.globalindustrial.com/images/500x500/246743_04.jpg,https://images.globalindustrial.com/images/500x500/246743_05.jpg,https://images.globalindustrial.com/images/500x500/246743_06.jpg;1 106;Global Industrial;White;;in stock;Boost;0;;[Exclusive Brands];"&checkmark; Quicker than a conventional convection heater. &checkmark; Recessed for optional space. &checkmark; Built-in thermostat.    Get better heat circulation throughout your home, office, or commercial space with the Global Industrial Fan Forced Wall Heater. Our heaters take up little space, are efficient, and use a small amount of energy to circulate heated air. This 4000-Watt heater features an enclosed motor and thermal protection for optimal safety.  UL listed. 1-Year Limited Warranty.";Business & Industrial;707022469968;yes;https://www.globalindustrial.com/p/global-industrial-153-fan-forced-wall-heater-enclosed-motor-4000-3000w-240-208v;Steel;246743;19.25 in;Quicker than a conventional convection heater.,Recessed for optional space.,Built-in thermostat.,Certifications-UL;;Heaters > Electric Heaters > Electric Wall Heaters > HVAC & Fans;;15.75 in
"24"" Outdoor Rated Oscillating Wall Mount Fan, 2 Speed, 7,700 CFM, 3/10 HP, Global Industrial";292450;299.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/292450.jpg;https://images.globalindustrial.com/images/500x500/292450_GIITW.jpg,https://images.globalindustrial.com/images/500x500/292450.jpg,https://images.globalindustrial.com/images/500x500/292450_01.jpg,https://images.globalindustrial.com/images/500x500/292450_02.jpg,https://images.globalindustrial.com/images/500x500/292450_03.jpg,https://images.globalindustrial.com/images/500x500/292450_04.jpg,https://images.globalindustrial.com/images/500x500/292450_05.jpg,https://images.globalindustrial.com/images/500x500/292450_06.jpg;1 097;Global Industrial;Black;;in stock;Boost;1000+;[HVAC & Fans] {3};[Exclusive Brands];"&checkmark; IP24-rated for water- & dust-resistance  &checkmark; Fixed and Oscillating options with tilting head  &checkmark; 2-speed motor moves up to 7700 CFM of air    The 3/10 HP Global Industrial 24"" Outdoor-Rated Oscillating Wall-Mount Fan provides refreshing air flow without taking up valuable floor space in any setting including patios, decks, loading docks, schools, and offices. To protect it from the elements, the housing has a UV-resistant powder coat finish, a corrosion-resistant zinc-plated fan blade grill, a IP24-rated motor, and a GFCI-protected power plug. It has an efficient 3/10 HP 2-speed TENV (Totally Enclosed Non-Ventilated) motor that is IP24-rated for water- & dust-resistance with 3 aluminum fan blades that are balanced for optimum air distribution and enclosed in a protective wire guard for safety. A simple pushbutton gives you the option to keep the head stationary or oscillate in a 70 arc with the ability to tilt it for perfect air-flow placement. UL, cUL listed, and conforms to UL507 standard. Limited 1-Year Warranty.     Simple pull chain for On/Off Operates at a 67 dB GFCI-protected 3-prong plug to prevent electrical shocks  9.8'L power cord eliminates the need for extension cords";Business & Industrial;707022320573;yes;https://www.globalindustrial.com/p/24-outdoor-wall-mounted-fan;Aluminum;292450;27 in;"IP24-rated for water- & dust-resistance,2-speed motor moves up to 7700 CFM of air,Fixed and Oscillating options with tilting head,""Certifications-ETL, cETL Listed, OSHA, UL507""";;Fans & Blowers > Cooling Fans > Wall Fans > HVAC & Fans;;28 in
"46"" Square Picnic Table, Expanded Metal, Black Global Industrial";277151BK;949.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/277151BK.jpg;https://images.globalindustrial.com/images/500x500/277151_500.jpg,https://images.globalindustrial.com/images/500x500/277151BK_501.jpg,https://images.globalindustrial.com/images/500x500/277151BK.jpg,https://images.globalindustrial.com/images/500x500/277151BK_01.jpg,https://images.globalindustrial.com/images/500x500/277151BK_02.jpg,https://images.globalindustrial.com/images/500x500/277151BK_03.jpg,https://images.globalindustrial.com/images/500x500/277151BK_04.jpg,https://images.globalindustrial.com/images/500x500/277151BK_05.jpg;1 081;Global Industrial;Black;;in stock;Boost;1000+;[Furniture & Decor] {3};Standard;"&checkmark; Strong, lightweight expanded metal mesh promotes air flow    &checkmark; Thermoplastic coating resists corrosion, fading & heat accumulation   &checkmark; Includes stainless steel hardware, acorn safety caps & bag hooks      DESIGNED FOR OUTDOORS:    Ideal for any outdoor setting including schools, camps, parks, corporate or hospital break areas, and any outdoor environment requiring seating or dining options. Smooth, glossy thermoplastic exterior coating on the tabletop & benches is UV-resistant to protect from fading, is engineered to withstand summer heat & winter cold, and is thermal-stable to stay comfortable even in direct summer sun.       BUILT TO CARRY THE LOAD:    High weight capacities for the table top & bench ensures a safe & comfortable experience with a 300-pound capacity per bench and 1000-pound weight capacity for the tabletop.       COMFORTABLE SEATING:    The 46"" square table top can hold all the food & beverages users bring with four bench seats that measure 38"" wide x 12"" deep and allows 2 average adults or kids to easily fit on each bench. A center hole accepts umbrella poles up to 1-1/2"" in diameter.      RESISTANCE TO THEFT & VANDALISM:   Welded brackets on frame allow table to be permanently anchored to concrete, asphalt, and other surfaces to deter theft. The open diamond pattern of the expanded metal makes an unappealing surface for graffiti and paint does not adhere well to the thermoplastic coating, making it easy to clean.      INDUSTRIAL STRENGTH:    Heavy-duty expanded metal mesh seats & tabletop promotes air flow, prevents snow & dust accumulation and limits standing water. Heavy-gauge galvanized tubular steel frame is finished in a corrosion-resistant black powder coat. Stainless steel hardware won't rust or corrode over time and comes with plastic protective acorn nuts that prevent injuries from rubbing against exposed bolt ends.       Beveled seat and tabletop corners for safety  16-1/2"" seat height from ground";4299;707022030533;yes;https://www.globalindustrial.com/p/46in-square-metal-mesh-picnic-table-black;Expanded Metal;277151BK;29.5 in;"1000-pound weight capacity,Thermoplastic coating on seats and tabletop stays cool in full sun,""Strong, lightweight expanded metal mesh promotes air flow""";81 in;Outdoor Furniture > Outdoor Tables > Picnic Tables > Metal Picnic Tables > Furniture & Decor;;81 in
"Electric Walk-Behind Corded Auto Floor Scrubber, 13"" Cleaning Path Global Industrial";641752;1849.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/641752.jpg;https://images.globalindustrial.com/images/500x500/641752_200.jpg,https://images.globalindustrial.com/images/500x500/641752_201.jpg,https://images.globalindustrial.com/images/500x500/641752.jpg,https://images.globalindustrial.com/images/500x500/641752_01.jpg,https://images.globalindustrial.com/images/500x500/641752_02.jpg,https://images.globalindustrial.com/images/500x500/641752_03.jpg,https://images.globalindustrial.com/images/500x500/641752_04.jpg,https://images.globalindustrial.com/images/500x500/641752_05.jpg;1 076;Global Industrial;Blue;;in stock;Boost;1000+;[Janitorial] {2};[Exclusive Brands];"&checkmark; Coverage rate of 5,240 sq. ft. per hour   &checkmark; Wide 13"" cleaning path for greater coverage in less time   &checkmark; 4-gallon recovery tank & 2.6-gallon solution tank      The Global Industrial Walk-Behind Automatic Floor Scrubber provides ergonomic floor maintenance for commercial properties, sports facilities, gymnasiums, schools, and other settings. Constructed from rotationally molded polyethylene, this scrubber is powered by a 0.16 peak horsepower motor that offers 130 RPM and 0.54 HP suction for heavy-duty cleaning applications. It has a Pad Assist feature that helps pull the machine forward by the friction of the scrub deck pad against the floor, applying 66 lbs. of pad pressure. Operators simply need to tilt the scrubber forward to allow the spinning pad to contact the floor. Corrosion- and impact-resistant, this scrubber is equipped with a molded-plastic handle that adjusts to operator height and folds for transport or storage.       Smaller housing & 66 lb. weight allows for use in narrow spaces  17""W heavy-duty cast aluminum squeegee assembly for removing cleaning solution   75' power cord   Pad driver and squeegee included  Scrub brush and floor pads sold separately";Business & Industrial;707022423021;yes;https://www.globalindustrial.com/p/global-industrial-electric-walk-behind-auto-floor-scrubber-13-cleaning-path-corded;Plastic;641752;43.5 in;"Wide 13"" cleaning path for greater coverage in less time,""Coverage rate of 5,240 sq. ft. per hour"",4-gallon recovery tank & 2.6-gallon solution tank,""Certifications-ETL, cETL""";25.2 in;Floor Machines & Vacuums > Scrubbers & Floor Machines > Janitorial & Facility Maintenance;;18 in
RomoTech 100 Gallon Plastic Storage Tank, Square End with Flat Bottom - Liquid Storage Tanks;987270;269.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/TIO_82123929A.jpg;https://images.globalindustrial.com/images/500x500/TIO_82123929A.jpg,https://images.globalindustrial.com/images/500x500/TIO_82123929B.jpg,https://images.globalindustrial.com/images/500x500/TIO_82123929C.jpg,https://images.globalindustrial.com/images/500x500/TIO_82123929D.jpg,https://images.globalindustrial.com/images/500x500/987265_05.jpg,https://images.globalindustrial.com/images/500x500/987265_06.jpg;1 060;RomoTech;Clear;;in stock;Bury;0;[Storage & Shelving] {3};Standard;"RomoTech 100 Gallon Plastic Storage Tank 82123929 - Square End with Flat Bottom  All-purpose Bulk Storage Tanks are designed for convenient dispensing of Chemicals.  Plastic Tanks are used for storing water and most agricultural and industrial chemicals. Storage tank is constructed of all-virgin, medium-density polyethylene with ultraviolet (UV) inhibiting stabilizers for long-term outdoor storage. Tank material is also FDA approved for the storage of potable water. Plastic Tank can be used to contain liquids (excluding flammable liquids / hydrocarbons) with a specific gravity of up to 1.7. Recommended maximum constant operating temperature is 140 F (molded polyethylene itself is rated for 140 F). Low profile design offers an increased safety factor and tank walls are translucent for visible content level. Each tank includes one 5"" fill, one "" drain and gallon/liter graduation marks.      Note: If a Liquid is ruled to only be stored in a Glass Container, then this Tank should never be used to store that Liquid. Any Liquid approved to be stored in a Plastic Container would be suitable to the stored in this Tank.";Business & Industrial > Industrial Storage;724920144599;yes;https://www.globalindustrial.com/p/100-gallon-plastic-storage-tank-square-end-with-flat-bottom-987270;Polyethylene;82123929;29 in;;38 in;Bins, Totes, & Containers > Liquid Storage Containers > Storage Tanks > Storage & Shelving;;30 in
